"id";"code";"d1";"d2";"d3";"d4";"d5";"d6";"d7";"d8"
1;"长和";"18020.0000";"35100.0000";"15919.0000";"118570.0000";"33008.0000";"14921.0000";"101858.0000";"53869.0000"
2;"中电控股";"7436.0000";"14249.0000";"5909.0000";"15656.0000";"12711.0000";"6125.0000";"5723.0000";"11221.0000"
3;"香港中华煤气";"4789.4000";"4472.0000";"7340.7000";"8225.3000";"4330.7000";"7302.0000";"7109.2000";"4197.1000"
4;"九龙仓集团";"2860.0000";"21876.0000";"8441.0000";"21440.0000";"6725.0000";"35930.0000";"16024.0000";"6958.0000"
5;"汇丰控股";"7748.0000";"10798.0000";"7510.0000";"2479.0000";"6912.0000";"13522.0000";"9618.0000";"13688.0000"
6;"电能实业";"4120.0000";"8319.0000";"3476.0000";"4024.0000";"6417.0000";"7732.0000";"3237.0000";"61005.0000"
7;"香港金融集团";"3271.6300";"109.1700";"11.6640";"-4.6210";"-36.4800";"-15.5930";"18.0120";"-37.7560"
8;"电讯盈科";"185.0000";"1154.0000";"2246.0000";"2051.0000";"868.0000";"2295.0000";"1070.0000";"3310.0000"
9;"九号运通";"-63.5450";"-220.8160";"-395.4230";"-328.7140";"-27.1220";"-643.5380";"-30.1550";"-178.0320"
10;"恒隆集团";"3037.0000";"5314.0000";"2396.0000";"3713.0000";"1790.0000";"3211.0000";"1779.0000";"6825.0000"
11;"恒生银行";"12647.0000";"20018.0000";"9838.0000";"16212.0000";"27494.0000";"8005.0000";"20048.0000";"15131.0000"
12;"恒基地产";"15030.0000";"13073.0000";"21916.0000";"30433.0000";"8611.0000";"21326.0000";"16752.0000";"9846.0000"
13;"希慎兴业";"3013.0000";"3636.0000";"746.0000";"1218.0000";"899.0000";"2903.0000";"2289.0000";"4902.0000"
14;"盈信控股";"408.9300";"57.7400";"49.5350";"772.4830";"141.5430";"348.1020";"134.5000";"47.3470"
15;"新鸿基地产";"49951.0000";"33031.0000";"41782.0000";"20659.0000";"32666.0000";"14724.0000";"31082.0000";"15696.0000"
16;"新世界发展";"23338.1000";"11269.9000";"7675.7000";"4335.7000";"8666.3000";"3300.0000";"19112.0000";"5854.6000"
17;"东方报业集团";"158.1340";"67.9230";"163.8890";"51.1120";"-5.7790";"54.6120";"51.0520";"36.2730"
18;"太古A";"13501.0000";"26070.0000";"9644.0000";"5061.0000";"12138.0000";"13429.0000";"7977.0000";"11069.0000"
19;"会德丰";"8604.0000";"20570.0000";"6243.0000";"16294.0000";"5662.0000";"14232.0000";"8006.0000";"22009.0000"
20;"大中华地产控股";"7.0650";"-32.9930";"-74.8740";"-3.4920";"-7.8340";"-7.2410";"-8.4740";"-35.1940"
21;"茂盛控股";"-0.1070";"-0.6520";"-0.5160";"9.5200";"35.7590";"33.8690";"36.0470";"25.1790"
22;"东亚银行";"3992.0000";"6220.0000";"3723.0000";"9347.0000";"2095.0000";"5522.0000";"6661.0000";"3354.0000"
23;"宝威控股";"42.7920";"124.0850";"-207.8960";"-7.7150";"-3.8830";"-123.4530";"-43.6580";"-279.1280"
24;"其士国际";"540.2630";"907.9290";"601.5480";"190.7290";"315.0560";"204.9640";"1537.1620";"263.1160"
25;"中华汽车";"942.4590";"359.5530";"627.8520";"307.2720";"349.3830";"110.6240";"465.0940";"100.0620"
26;"银河娱乐";"7206.3690";"4630.7060";"10504.3610";"6283.3970";"2558.0800";"4161.0500";"2030.3790";"10339.8100"
27;"天安";"836.9290";"2054.1420";"1671.0860";"5712.9540";"2600.0200";"513.1500";"209.9750";"337.5640"
28;"达力集团";"126.1250";"78.8760";"115.5910";"58.0030";"95.0850";"52.7200";"101.5860";"55.4340"
29;"万隆控股集团";"-1.4657";"-4.5787";"5.4309";"-33.5376";"-197.8822";"-19.4689";"-82.2917";"-20.4004"
30;"航天控股";"164.2290";"201.3230";"486.1830";"619.9890";"984.6960";"796.1080";"409.7930";"415.6920"
31;"港通控股";"-127.9770";"1180.0480";"557.5350";"410.4260";"123.1330";"619.8080";"315.2420";"472.2140"
32;"亚投金融集团";"-85.1730";"-53.9070";"-141.2740";"-113.3550";"-64.1820";"-46.1630";"-32.2290";"-75.1310"
33;"九龙建业";"1059.4620";"1635.0260";"408.7300";"946.7370";"290.9790";"1202.0400";"476.0460";"1040.7170"
